phi,M,h_x
0.0,1.0,1.0
0.0,2.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,5.0,1.0
0.0,6.0,1.0
0.0,7.0,1.0
0.0,8.0,1.0
0.0,9.0,1.0
0.0,10.0,1.0
0.1111111111111111,1.0,1.0
0.1111111111111111,2.0,1.0
0.1111111111111111,3.0,1.0
0.1111111111111111,4.0,1.0
0.1111111111111111,5.0,1.0
0.1111111111111111,6.0,1.0
0.1111111111111111,7.0,1.0
0.1111111111111111,8.0,1.0
0.1111111111111111,9.0,1.0
0.1111111111111111,10.0,1.0
0.2222222222222222,1.0,1.0
0.2222222222222222,2.0,1.0
0.2222222222222222,3.0,1.0
0.2222222222222222,4.0,1.0
0.2222222222222222,5.0,1.0
0.2222222222222222,6.0,1.0
0.2222222222222222,7.0,1.0
0.2222222222222222,8.0,1.0
0.2222222222222222,9.0,1.0
0.2222222222222222,10.0,1.0
0.3333333333333333,1.0,1.0
0.3333333333333333,2.0,1.0
0.3333333333333333,3.0,1.0
0.3333333333333333,4.0,1.0
0.3333333333333333,5.0,1.0
0.3333333333333333,6.0,1.0
0.3333333333333333,7.0,1.0
0.3333333333333333,8.0,1.0
0.3333333333333333,9.0,1.0
0.3333333333333333,10.0,1.0
0.4444444444444444,1.0,1.0
0.4444444444444444,2.0,1.0
0.4444444444444444,3.0,1.0
0.4444444444444444,4.0,1.0
0.4444444444444444,5.0,1.0
0.4444444444444444,6.0,1.0
0.4444444444444444,7.0,1.0
0.4444444444444444,8.0,1.0
0.4444444444444444,9.0,1.0
0.4444444444444444,10.0,1.0
0.5555555555555556,1.0,1.0
0.5555555555555556,2.0,1.0
0.5555555555555556,3.0,1.0
0.5555555555555556,4.0,1.0
0.5555555555555556,5.0,1.0
0.5555555555555556,6.0,1.0
0.5555555555555556,7.0,1.0
0.5555555555555556,8.0,1.0
0.5555555555555556,9.0,1.0
0.5555555555555556,10.0,1.0
0.6666666666666666,1.0,1.0
0.6666666666666666,2.0,1.0
0.6666666666666666,3.0,1.0
0.6666666666666666,4.0,1.0
0.6666666666666666,5.0,1.0
0.6666666666666666,6.0,1.0
0.6666666666666666,7.0,1.0
0.6666666666666666,8.0,1.0
0.6666666666666666,9.0,1.0
0.6666666666666666,10.0,1.0
0.7777777777777778,1.0,1.0
0.7777777777777778,2.0,1.0
0.7777777777777778,3.0,1.0
0.7777777777777778,4.0,1.0
0.7777777777777778,5.0,1.0
0.7777777777777778,6.0,1.0
0.7777777777777778,7.0,1.0
0.7777777777777778,8.0,1.0
0.7777777777777778,9.0,1.0
0.7777777777777778,10.0,1.0
0.8888888888888888,1.0,1.0
0.8888888888888888,2.0,1.0
0.8888888888888888,3.0,1.0
0.8888888888888888,4.0,1.0
0.8888888888888888,5.0,1.0
0.8888888888888888,6.0,1.0
0.8888888888888888,7.0,1.0
0.8888888888888888,8.0,1.0
0.8888888888888888,9.0,1.0
0.8888888888888888,10.0,1.0
1.0,1.0,1.0
1.0,2.0,1.0
1.0,3.0,1.0
1.0,4.0,1.0
1.0,5.0,1.0
1.0,6.0,1.0
1.0,7.0,1.0
1.0,8.0,1.0
1.0,9.0,1.0
1.0,10.0,1.0
