db,b,h_x,h_y,P,P2,parameters,reason
0.0,2.0,0.0,0.0,0.24999999394483205,0.24999999394483205,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
0.25,2.0,0.1115000000000042,0.09920000000000385,0.24999999432326842,0.24999999432326842,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
0.5,2.0,0.4580999999999332,0.3665999999999433,0.2499999942419653,0.2499999942419653,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
0.75,2.0,0.6607999999999109,0.48069999999993074,0.249999993997138,0.249999993997138,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
1.0,2.0,0.804699999999895,0.5363999999999246,0.2499999942592268,0.2499999942592268,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
0.0,3.25,0.0,0.0,0.15384615452645178,0.15384615452645178,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
0.25,3.25,0.06860000000000298,0.06370000000000284,0.15384615450773842,0.15384615450773842,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
0.5,3.25,0.28189999999995263,0.24439999999994785,0.1538461544502147,0.1538461544502147,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
0.75,3.25,0.4065999999999389,0.3304999999999473,0.1538461545137111,0.1538461545137111,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
1.0,3.25,0.49519999999992914,0.37869999999994197,0.15384615450643177,0.15384615450643177,"Dict{String, Real}(""s_u"" => 0.5, ""h_x_bar"" => 0.22989999999996386, ""h_x"" => 0.22989999999996386, ""p_u"" => 0.5, ""s_y"" => 0.5, ""a"" => 2, ""h_y_bar"" => 0.20119999999996704, ""M"" => 1, ""phi"" => 1, ""s_ay"" => 0.5, ""b_x"" => 7.0, ""h_y"" => 0.20119999999996704, ""b_y"" => 8.0, ""s_x"" => 0.5, ""s_ax"" => 0.5, ""p_j"" => 0.4)",css found
