P,P2,d_b,s_x,h_x,h_y,parameters
0.0,0.0,0.0,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.05263157894736842,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.10526315789473684,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.15789473684210525,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.21052631578947367,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.2631578947368421,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.3157894736842105,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.3684210526315789,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.42105263157894735,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.47368421052631576,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.5263157894736842,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.5789473684210527,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
0.0,0.0,0.631578947368421,0.1,0.05,0.0,"Dict{String, Real}(""s_u"" => 0.4, ""h_x_bar"" => 0.6068385681572803, ""h_x"" => 0.6068385681572803, ""p_u"" => 0.6, ""s_y"" => 0.9, ""a"" => 0.1, ""h_y_bar"" => 0.4561250271812422, ""M"" => 1, ""s_jx"" => 0.4, ""phi"" => 0.1, ""b_x"" => 3, ""h_y"" => 0.4561250271812422, ""b_y"" => 4.0, ""s_jy"" => 0.4, ""s_x"" => 0.9, ""p_j"" => 0.5)"
